contrast,scope,model,from_db,to_db,delta_mihi_full,delta_core_mihi,delta_whole_score,delta_sent_score,delta_imagery_score
改革-沁园春强约束与prompt精简效应,沁园春,doubao-seed-2.0-pro,b2,c2,-0.004311,0.000972,-0.007452,0.011268,-0.024507
改革主题效应,model_level,deepseek-3.2-thinking,b1,b2,0.014119,0.010737,0.073021,-0.065387,0.020723
改革主题效应,model_level,doubao-seed-2.0-pro,b1,b2,0.026965,0.026658,0.085857,-0.045697,0.021617
改革主题效应,model_level,qwen3.6-plus,b1,b2,0.006895,0.011605,0.069881,-0.059620,-0.018421
玉兰-沁园春强约束与prompt精简效应,沁园春,deepseek-3.2-thinking,b3,c1,-0.011594,-0.023504,-0.030250,-0.015259,0.036794
玉兰-沁园春强约束与prompt精简效应,沁园春,doubao-seed-2.0-pro,b3,c1,0.009034,0.013799,0.000348,0.030238,-0.008528
玉兰-沁园春强约束与prompt精简效应,沁园春,qwen3.6-plus,b3,c1,-0.020674,-0.017277,-0.008572,-0.027915,-0.035232
玉兰主题效应,model_level,deepseek-3.2-thinking,b1,b3,0.072638,0.039115,0.078641,-0.009196,0.202341
玉兰主题效应,model_level,doubao-seed-2.0-pro,b1,b3,0.040558,0.035817,0.083301,-0.022218,0.054244
玉兰主题效应,model_level,qwen3.6-plus,b1,b3,0.011278,-0.005697,0.019167,-0.036086,0.076417
