db,db_label,model,cipai,poem_count_total,poem_count_used,resample_rounds,weight,raw_sentence_comparison_count,whole_sem_p90,whole_score,distinct_imagery_count,mihi_full,sentence_pair_count,whole_highsim_ratio,imagery_jaccard_p90,sent_pseudo_ratio,imagery_score,top10_imagery_concentration,whole_pseudo_ratio,sent_highsim_ratio,imagery_jaccard_p50,sentence_count,category_entropy,imagery_entropy,whole_lex_p90,top1_sent_mean,topk_sent_mean,whole_sem_p50,whole_lex_p50,sent_score,whole_pair_count,core_mihi,distinct_category_count,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
b1,五词牌-无主题,qwen3.6-plus,沁园春,26,20,5,20,119891.200000,0.883820,0.766994,272.200000,0.553309,190.000000,0.413684,0.100088,0.476491,0.073125,0.126596,1.000000,0.351930,0.038406,502.400000,0.936963,0.969623,0.210005,0.897475,0.811425,0.838222,0.151645,0.552962,190.000000,0.670679,4.000000,0.635898,0.458012,0.555849,0.114830
b1,五词牌-无主题,qwen3.6-plus,浪淘沙,21,16,5,16,12000.000000,0.828538,0.628896,132.400000,0.471250,120.000000,0.046667,0.098808,0.752222,0.104162,0.207639,0.991667,0.072222,0.024080,160.000000,0.732040,0.972915,0.259688,0.745899,0.673102,0.742003,0.171451,0.478325,120.000000,0.561139,5.400000,0.534417,0.438472,0.491242,0.069898
b1,五词牌-无主题,qwen3.6-plus,清平乐,24,15,5,15,6720.000000,0.832949,0.626156,128.600000,0.465390,105.000000,0.053333,0.089255,0.838095,0.088096,0.200034,1.000000,0.027937,0.016333,120.000000,0.823632,0.975777,0.233333,0.705617,0.646506,0.731208,0.151580,0.474288,105.000000,0.557815,4.800000,0.533140,0.442754,0.492466,0.065349
b1,五词牌-无主题,qwen3.6-plus,祝英台近,16,11,5,11,14594.400000,0.879843,0.732278,126.400000,0.539745,55.000000,0.287273,0.115828,0.675152,0.145039,0.221657,1.000000,0.168485,0.036476,179.200000,0.439497,0.970665,0.216658,0.826034,0.754389,0.821741,0.158813,0.517749,55.000000,0.635740,2.000000,0.604407,0.469661,0.543772,0.091969
b1,五词牌-无主题,qwen3.6-plus,菩萨蛮,33,9,5,9,2304.000000,0.848837,0.673167,92.800000,0.495479,36.000000,0.105556,0.077508,0.850000,0.113034,0.220614,1.000000,0.033333,0.015100,72.000000,0.574723,0.982782,0.261880,0.724095,0.664329,0.794810,0.179766,0.485562,36.000000,0.588745,2.600000,0.491158,0.421066,0.459616,0.129128
b2,五词牌-改革主题,deepseek-3.2-thinking,浪淘沙,23,18,5,18,15300.000000,0.869557,0.730647,66.200000,0.490279,153.000000,0.274510,0.112889,0.531590,0.111496,0.309730,1.000000,0.047059,0.000000,180.000000,0.812465,0.974254,0.265000,0.731273,0.659691,0.829755,0.187500,0.397683,153.000000,0.580813,2.800000,0.529160,0.446171,0.491815,0.088998
b2,五词牌-改革主题,deepseek-3.2-thinking,清平乐,37,20,5,20,12160.000000,0.847595,0.666816,75.800000,0.453547,190.000000,0.081053,0.068611,0.542105,0.073928,0.252456,1.000000,0.037193,0.000000,160.000000,0.951458,0.985699,0.285926,0.729196,0.645845,0.792654,0.211111,0.396267,190.000000,0.545069,3.000000,0.519327,0.451810,0.488944,0.056125
b2,五词牌-改革主题,deepseek-3.2-thinking,菩萨蛮,26,20,5,20,12160.000000,0.835548,0.652818,72.800000,0.452019,190.000000,0.043158,0.040222,0.593333,0.071994,0.249121,1.000000,0.041053,0.000000,160.000000,0.890864,0.987993,0.288462,0.721953,0.640272,0.787044,0.211538,0.411007,190.000000,0.544003,3.000000,0.507066,0.431574,0.473095,0.070908
b2,五词牌-改革主题,doubao-seed-2.0-pro,沁园春,40,19,5,19,106515.000000,0.932908,0.936587,155.200000,0.646552,171.000000,0.997661,0.152348,0.446394,0.145507,0.208436,1.000000,0.376218,0.054513,474.200000,0.563460,0.970006,0.261303,0.918523,0.821289,0.914365,0.185338,0.559962,171.000000,0.767106,2.800000,0.643064,0.459447,0.560436,0.206670
b2,五词牌-改革主题,doubao-seed-2.0-pro,浪淘沙,33,18,5,18,15300.000000,0.851980,0.677972,77.600000,0.486409,153.000000,0.107190,0.132308,0.710675,0.120437,0.314793,1.000000,0.053159,0.000000,180.000000,0.791047,0.964935,0.261250,0.715914,0.641164,0.801880,0.171875,0.449240,153.000000,0.575043,2.800000,0.529160,0.446171,0.491815,0.083228
