ai_uid,db_key,ai_poem_id,model_name,cipai,title,sentence_count,whole_sem_top1_score,whole_sem_top1_source_poem_id,whole_sem_top1_source_title,whole_sem_top1_source_author,whole_sem_percentile,whole_lex_top1_score,whole_lex_top1_source_poem_id,whole_lex_top1_source_title,whole_lex_top1_source_author,whole_lex_percentile,sem_dominant_source_poem_id,sem_dominant_source_title,sem_dominant_source_author,sem_dominant_source_coverage,lex_dominant_source_poem_id,lex_dominant_source_title,lex_dominant_source_author,lex_dominant_source_coverage,distinct_sem_source_poems,distinct_lex_source_poems,max_consecutive_sem_same_source,max_consecutive_lex_same_source,same_source_sentence_count,max_sentence_sem_score,max_sentence_lex_score
a1:20,a1,20,qwen3.6-plus,水调歌头,夜泛寒江,19,0.8531953692436218,20669,兰陵王,葛郯,0.10901749663526245,0.16597510373443983,19909,瑞鹤仙,韩元吉,0.010767160161507403,12513,满庭芳,方千里,0.05263157894736842,17489,水调歌头,魏了翁,0.05263157894736842,19,19,1,1,6,1.0,1.0
b3:310,b3,310,qwen3.6-plus,菩萨蛮,玉兰辞,8,0.8531820774078369,10067,天香,王沂孙,0.8745819397993311,0.2376237623762376,1163,生查子,晏几道,0.560200668896321,10105,扫花游・扫地游,王沂孙,0.125,10432,桂枝香,唐艺孙,0.125,8,8,1,1,1,0.843913,0.666667
a1:16,a1,16,qwen3.6-plus,临江仙,秋江夜泊,10,0.8531807661056519,237,安公子,柳永,0.8174273858921162,0.25,17837,西江月,向子諲,0.8734439834024896,19353,诉衷情令,康与之,0.1,10341,探芳信,仇远,0.1,10,10,1,1,3,0.926315,0.888889
a1:388,a1,388,gemini-3-flash,青玉案,机械之城,14,0.8531359434127808,10408,木兰花慢,李琳,0.7737226277372263,0.192,8083,乌夜啼,吴文英,0.34306569343065696,4661,虞美人,姜夔,0.07142857142857142,106,巫山一段云,柳永,0.07142857142857142,14,14,1,1,6,1.0,1.0
b3:96,b3,96,deepseek-3.2-thinking,浪淘沙,白玉兰感怀,10,0.8530389666557312,11107,玉梅香慢,无名氏,0.8971428571428571,0.21875,2721,鹧鸪天,赵长卿,0.6914285714285714,13341,寿星明・沁园春,无名氏,0.1,13094,水调歌头,无名氏,0.1,10,10,1,1,2,0.881835,0.714286
b3:153,b3,153,deepseek-3.2-thinking,祝英台近,玉兰感怀,16,0.8530260920524597,13569,满江红,无名氏,0.4142857142857143,0.19004524886877827,10164,喜迁莺,黄公绍,0.4,13094,水调歌头,无名氏,0.0625,13094,水调歌头,无名氏,0.0625,16,16,1,1,6,1.0,1.0
c1:364,c1,364,deepseek-3.2-thinking,沁园春,白玉兰感赋,25,0.8530092835426331,10164,喜迁莺,黄公绍,0.05200945626477541,0.17985611510791366,11055,沁园春,无名氏,0.1347517730496454,3500,醉花阴,辛弃疾,0.04,4355,念奴娇,陈亮,0.04,25,25,1,1,11,1.0,1.0
b3:410,b3,410,doubao-seed-2.0-pro,清平乐,校园见玉兰作,8,0.8529582619667053,17550,探芳新,吴文英,0.851123595505618,0.17647058823529413,15785,浣溪沙,毛滂,0.0028089887640449437,2490,沁园春,丘崈,0.125,14882,点绛唇,米芾,0.125,8,8,1,1,1,0.846364,0.6
a1:325,a1,325,doubao-seed-2.0-pro,鹧鸪天,夏末过郊野残塘,9,0.8529234528541565,18136,风流子,蔡伸,0.8036529680365296,0.1864406779661017,12991,清平乐,李邴,0.0182648401826484,10312,忆闷令,仇远,0.1111111111111111,1167,生查子,晏几道,0.1111111111111111,9,9,1,1,3,1.0,1.0
c1:375,c1,375,deepseek-3.2-thinking,沁园春,见玉兰有感,25,0.852898895740509,14427,绿意・疏影,张炎,0.05200945626477541,0.16727272727272727,6131,洞庭春色・沁园春,吴泳,0.014184397163120567,9490,满江红,刘辰翁,0.04,12898,南徐好,仲殊,0.04,25,25,1,1,6,1.0,1.0
a1:255,a1,255,deepseek-3.2-thinking,青玉案,星河漫想,12,0.8528956174850464,17120,念奴娇,王以宁,0.7591240875912408,0.2375,15022,横塘路・青玉案,贺铸,0.6496350364963503,20533,玉团儿,袁去华,0.08333333333333333,15022,横塘路・青玉案,贺铸,0.16666666666666666,12,11,1,1,4,0.961328,0.888889
