scope,cipai,length_bucket,metric_type,count,mean,p50,p90,p95,p99,max
whole_poem,一剪梅,,semantic,13,0.7586371165055495,0.7702946662902832,0.8291234493255616,0.8381227254867554,0.8381227254867554,0.8381227254867554
whole_poem,一剪梅,,lexical,13,0.1719830822771999,0.16666666666666666,0.24000000000000005,0.25,0.25,0.25
whole_poem,临江仙,,semantic,482,0.823761931098843,0.8228889405727386,0.8648581504821777,0.8819514513015747,0.9941368699073792,1.0
whole_poem,临江仙,,lexical,482,0.23697014506286787,0.2028985507246377,0.2571428571428571,0.2857142857142857,0.9714285714285714,1.0
whole_poem,八声甘州,,semantic,108,0.859893403671406,0.8636994957923889,0.8830537796020508,0.8888643711805344,0.9912960237264625,0.9985913634300232
whole_poem,八声甘州,,lexical,108,0.21219029755536456,0.19368506896429458,0.25136246967406206,0.2689075630252101,0.9337815126050368,0.9831932773109243
whole_poem,卜算子,,semantic,240,0.7898063915471236,0.789628267288208,0.8390487432479858,0.8732048273086548,0.9927908778190613,0.9949983358383179
whole_poem,卜算子,,lexical,240,0.2541608996802985,0.23076923076923078,0.3076923076923077,0.3269230769230769,0.9423076923076923,0.9807692307692307
whole_poem,定风波,,semantic,84,0.8028891114961534,0.8208571672439575,0.8647998154163361,0.8843243330717085,0.8960539698600769,0.8960539698600769
whole_poem,定风波,,lexical,84,0.20928395860322824,0.2,0.2602739726027397,0.3267123287671232,0.3356643356643357,0.3356643356643357
whole_poem,念奴娇,,semantic,432,0.8734458086805211,0.8782712519168854,0.9063242673873901,0.9134690761566162,0.9856361150741577,0.9991304874420166
whole_poem,念奴娇,,lexical,432,0.22308387562152135,0.19166666666666668,0.25833333333333336,0.2838668061366806,0.9166666666666665,0.9831932773109243
whole_poem,水调歌头,,semantic,743,0.8805045354735321,0.8827575445175171,0.9074362516403198,0.917846542596817,0.9958693945407868,0.9999704360961914
whole_poem,水调歌头,,lexical,743,0.23309814106561394,0.20175438596491227,0.2631578947368421,0.2982456140350877,0.9700000000000004,0.9910714285714286
whole_poem,水龙吟,,semantic,295,0.8799363225193347,0.8822429776191711,0.9182677268981934,0.931438398361206,0.9463245272636414,0.9919065237045288
whole_poem,水龙吟,,lexical,295,0.21640287706278488,0.1984126984126984,0.2698412698412698,0.2857142857142857,0.3655555555555555,0.9603174603174603
whole_poem,永遇乐,,semantic,75,0.864150128364563,0.866459846496582,0.9168498158454895,0.9303458392620088,0.9875032901763916,0.9875032901763916
whole_poem,永遇乐,,lexical,75,0.21335537727939727,0.18110236220472442,0.2206433823529413,0.3314202334630343,0.9296875,0.9296875
whole_poem,江城子,,semantic,117,0.8372455295334514,0.8368768692016602,0.87572021484375,0.8903578400611876,0.9951056766510011,0.9981467723846436
whole_poem,江城子,,lexical,117,0.2526018310816224,0.21839080459770116,0.32558139534883723,0.33720930232558133,0.9618604651162793,0.9767441860465116
whole_poem,沁园春,,semantic,423,0.8892370077735143,0.8926705121994019,0.917597234249115,0.9227188229560852,0.9525480270385742,0.9963918328285217
whole_poem,沁园春,,lexical,423,0.21256463528259642,0.19494584837545126,0.2517985611510791,0.26618705035971224,0.45323741007194246,0.9747292418772563
whole_poem,浣溪沙,,semantic,776,0.8086387221653437,0.8080928325653076,0.8596082031726837,0.8748937398195267,0.9343372732400894,0.9912295341491699
whole_poem,浣溪沙,,lexical,776,0.23599713238384662,0.22916666666666666,0.2708333333333333,0.2916666666666667,0.7083333333333334,0.9375
whole_poem,浪淘沙,,semantic,175,0.8088513657024928,0.8110564351081848,0.8532585620880127,0.8792086243629456,0.9883440601825713,0.9974215030670166
whole_poem,浪淘沙,,lexical,175,0.23958461476826462,0.21875,0.296875,0.328125,0.9496874999999996,0.984375
whole_poem,清平乐,,semantic,356,0.8129483206888263,0.8094286322593689,0.8679109215736389,0.892252117395401,0.9946376740932464,0.9999999403953552
whole_poem,清平乐,,lexical,356,0.25656214168753794,0.2222222222222222,0.2777777777777778,0.33796296296296297,0.9611111111111106,1.0
whole_poem,满庭芳,,semantic,330,0.8662276872179725,0.8718966841697693,0.9131186544895172,0.9260549545288086,0.9957481002807618,0.9963560104370117
whole_poem,满庭芳,,lexical,330,0.25881682503495057,0.211864406779661,0.30392619609525856,0.5493617021276597,0.9696610169491522,0.9787234042553191
whole_poem,满江红,,semantic,549,0.8734132649685733,0.8768473267555237,0.9012138247489929,0.9081301093101501,0.9233213996887206,0.9894880056381226
whole_poem,满江红,,lexical,549,0.2417007253532217,0.22608695652173913,0.2956521739130435,0.30434782608695654,0.4944099378881982,0.911504424778761
whole_poem,相见欢,,semantic,16,0.7074037529528141,0.7197156250476837,0.7593070864677429,0.768674910068512,0.768674910068512,0.768674910068512
whole_poem,相见欢,,lexical,16,0.22886141636141635,0.24444444444444444,0.24444444444444444,0.25,0.2633333333333333,0.26666666666666666
whole_poem,祝英台近,,semantic,70,0.8469463914632798,0.8614377081394196,0.8965339004993439,0.9123003929853439,0.9229129552841187,0.9229129552841187
whole_poem,祝英台近,,lexical,70,0.20378556779187973,0.2,0.2631578947368421,0.2736842105263158,0.30452631578947376,0.3263157894736842
whole_poem,苏幕遮,,semantic,29,0.7944785253754978,0.7866185307502747,0.8648571968078613,0.9086740851402282,0.9378853440284729,0.9378853440284729
whole_poem,苏幕遮,,lexical,29,0.2401249065869542,0.18421052631578946,0.32894736842105265,0.5499999999999992,0.6973684210526315,0.6973684210526315
whole_poem,菩萨蛮,,semantic,598,0.8067556854873198,0.8032487332820892,0.8607914030551911,0.8819578677415848,0.9922766333818436,0.9975323677062988
whole_poem,菩萨蛮,,lexical,598,0.2649581155835249,0.23076923076923078,0.3076923076923077,0.36538461538461536,0.9615384615384616,0.9807692307692307
whole_poem,蝶恋花,,semantic,416,0.8437656780275015,0.8410820960998535,0.8836361467838287,0.9235783815383911,0.996751070022583,0.9997235536575317
whole_poem,蝶恋花,,lexical,416,0.2694734049501573,0.21428571428571427,0.32857142857142857,0.8714285714285714,0.9571428571428572,0.9714285714285714
whole_poem,行香子,,semantic,60,0.806535858909289,0.8096429109573364,0.8565758407115937,0.8686033487319946,0.9932958483695984,0.9932958483695984
whole_poem,行香子,,lexical,60,0.270904522059409,0.2261904761904762,0.34880952380952385,0.5482142857142858,0.9642857142857144,0.9642857142857143
whole_poem,西江月,,semantic,490,0.8151934708867754,0.8143755495548248,0.8575072765350342,0.8754725396633147,0.9690345525741577,0.9994716644287109
whole_poem,西江月,,lexical,490,0.2250457149244945,0.20689655172413793,0.25862068965517243,0.27586206896551724,0.8620689655172413,0.9655172413793104
whole_poem,贺新郎,,semantic,361,0.8934497962037612,0.8932448625564575,0.9176552295684814,0.9259405136108398,0.9970467329025268,0.9990312457084656
whole_poem,贺新郎,,lexical,361,0.22505061013398453,0.19148936170212766,0.28368794326241137,0.3017543859649123,0.963732394366197,0.9788732394366197
whole_poem,踏莎行,,semantic,202,0.8196465603195795,0.8205945491790771,0.8593192994594574,0.8810122072696686,0.9943997859954834,0.9958528280258179
whole_poem,踏莎行,,lexical,202,0.22542738529938197,0.20588235294117646,0.24526854219948857,0.27867647058823514,0.9411764705882353,0.9558823529411765
whole_poem,醉花阴,,semantic,34,0.8168559495140525,0.8118301630020142,0.9451853871345519,0.9928995341062545,0.9970999360084534,0.9970999360084534
whole_poem,醉花阴,,lexical,34,0.3015763295326695,0.2021838424207822,0.7854838709677415,0.9524193548387095,0.9838709677419355,0.9838709677419355
whole_poem,采桑子,,semantic,108,0.7797477107357096,0.7865098118782043,0.8307416379451751,0.8459867238998413,0.8595140999555587,0.8597162365913391
whole_poem,采桑子,,lexical,108,0.22736874192188203,0.21153846153846154,0.2692307692307692,0.3009615384615383,0.36403846153846137,0.36538461538461536
whole_poem,青玉案,,semantic,137,0.8301210140224791,0.8290917873382568,0.8691789269447328,0.8816707849502563,0.9968489980697632,0.9971411228179932
whole_poem,青玉案,,lexical,137,0.24303850963267276,0.2085889570552147,0.3125,0.32500000000000007,0.9614999999999995,0.975
whole_poem,高阳台,,semantic,26,0.863178748350877,0.8638561367988586,0.8929541110992432,0.9040785729885101,0.9077867269515991,0.9077867269515991
whole_poem,高阳台,,lexical,26,0.17175354576060498,0.1646090534979424,0.19672131147540983,0.22745901639344263,0.26844262295081966,0.2786885245901639
whole_poem,鹊桥仙,,semantic,177,0.8157015171764934,0.8230631947517395,0.8595639705657958,0.8661484718322754,0.8767018413543701,0.8771405220031738
whole_poem,鹊桥仙,,lexical,177,0.22013630604634474,0.22058823529411764,0.25,0.2647058823529412,0.3194117647058828,0.35294117647058826
whole_poem,鹧鸪天,,semantic,657,0.8232195370092058,0.8235466480255127,0.8653557300567627,0.8780762553215026,0.9946751594543457,0.999208927154541
whole_poem,鹧鸪天,,lexical,657,0.23278849532551063,0.203125,0.265625,0.296875,0.96875,0.984375
whole_poem,齐天乐,,semantic,96,0.8665365626414617,0.8667457103729248,0.9057797491550446,0.9198703616857529,0.9393900632858276,0.9393900632858276
whole_poem,齐天乐,,lexical,96,0.1884055606615379,0.1832813433331121,0.2240418118466899,0.25203252032520324,0.26858772619984267,0.27419354838709675
whole_poem,__overall__,,semantic,8675,0.840374795459533,0.8444626331329346,0.8997552394866943,0.9131372511386872,0.9934068179130555,1.0
whole_poem,__overall__,,lexical,8675,0.23661460779754756,0.21052631578947367,0.2796610169491525,0.3142857142857143,0.9428571428571428,1.0
