db,db_label,model,cipai,poem_count_total,poem_count_used,resample_rounds,weight,imagery_jaccard_p50,category_entropy,whole_score,distinct_imagery_count,whole_lex_p50,raw_sentence_comparison_count,sent_highsim_ratio,imagery_entropy,sentence_count,imagery_jaccard_p90,mihi_full,whole_sem_p90,whole_pair_count,whole_sem_p50,sent_score,distinct_category_count,imagery_score,top1_sent_mean,sentence_pair_count,whole_highsim_ratio,top10_imagery_concentration,topk_sent_mean,whole_pseudo_ratio,sent_pseudo_ratio,whole_lex_p90,core_mihi,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
b1,五词牌-无主题,doubao-seed-2.0-pro,菩萨蛮,34,16,5,16,0.000000,0.739627,0.575167,132.400000,0.150000,7680.000000,0.011667,0.988268,128.000000,0.056082,0.439188,0.778622,120.000000,0.676495,0.473769,3.800000,0.072719,0.670895,120.000000,0.016667,0.157439,0.614214,0.981667,0.892778,0.211923,0.529538,0.503544,0.417356,0.464760,0.064778
b1,五词牌-无主题,glm-5,浪淘沙,15,15,5,15,0.000000,0.901897,0.610859,111.000000,0.140625,10500.000000,0.057143,0.971545,150.000000,0.098095,0.451256,0.799970,105.000000,0.741735,0.454867,3.000000,0.085828,0.722574,105.000000,0.000000,0.243243,0.651840,1.000000,0.717460,0.218750,0.540663,0.531493,0.445292,0.492702,0.047960
b1,五词牌-无主题,glm-5,清平乐,10,10,5,10,0.000000,0.923220,0.542259,68.000000,0.148148,2880.000000,0.014815,0.987836,80.000000,0.069524,0.415059,0.764568,45.000000,0.625777,0.445479,4.000000,0.075626,0.650364,45.000000,0.000000,0.246753,0.587392,0.977778,0.814815,0.203704,0.498708,0.525709,0.452720,0.492864,0.005844
b1,五词牌-无主题,glm-5,祝英台近,8,8,5,8,0.000000,0.774397,0.641360,81.000000,0.136842,7168.000000,0.154762,0.990401,128.000000,0.101579,0.485265,0.837457,28.000000,0.765959,0.510801,4.000000,0.089364,0.829655,28.000000,0.035714,0.202247,0.730202,1.000000,0.666667,0.192632,0.582608,0.613158,0.468835,0.548213,0.034396
b1,五词牌-无主题,qwen3.6-plus,沁园春,24,13,5,13,0.035024,0.934683,0.763388,206.400000,0.150042,48750.000000,0.270085,0.979830,325.000000,0.109811,0.543959,0.888655,78.000000,0.835635,0.529524,3.400000,0.075503,0.875051,78.000000,0.394872,0.136215,0.790425,1.000000,0.529915,0.215230,0.658149,0.639398,0.458045,0.557789,0.100360
b1,五词牌-无主题,qwen3.6-plus,浪淘沙,19,15,5,15,0.025725,0.662787,0.616137,128.800000,0.159375,10500.000000,0.058413,0.976411,150.000000,0.092896,0.464523,0.808726,105.000000,0.734847,0.473525,5.200000,0.107638,0.735453,105.000000,0.030476,0.196651,0.664055,0.988571,0.765079,0.261250,0.551961,0.531493,0.445292,0.492702,0.059259
b1,五词牌-无主题,qwen3.6-plus,清平乐,20,10,5,10,0.016333,0.791592,0.636279,93.600000,0.151852,2880.000000,0.042963,0.983729,80.000000,0.084756,0.472453,0.838139,45.000000,0.732342,0.478460,3.600000,0.093334,0.704989,45.000000,0.093333,0.219800,0.641790,1.000000,0.832593,0.222963,0.565261,0.525709,0.452720,0.492864,0.072397
b1,五词牌-无主题,qwen3.6-plus,祝英台近,12,8,5,8,0.050993,0.000000,0.749674,94.000000,0.160123,7483.200000,0.190476,0.974404,130.800000,0.114456,0.563589,0.877171,28.000000,0.833046,0.533291,1.000000,0.197917,0.835573,28.000000,0.350000,0.244480,0.759342,1.000000,0.688095,0.231273,0.652302,0.613158,0.468835,0.548213,0.104089
b1,五词牌-无主题,qwen3.6-plus,菩萨蛮,32,16,5,16,0.031322,0.464392,0.681906,143.600000,0.191707,7680.000000,0.051667,0.966001,128.000000,0.105671,0.505381,0.857679,120.000000,0.795872,0.487785,3.000000,0.138991,0.735951,120.000000,0.133333,0.223250,0.673683,1.000000,0.821111,0.271976,0.594552,0.503544,0.417356,0.464760,0.129792
b2,五词牌-改革主题,deepseek-3.2-thinking,浪淘沙,19,16,5,16,0.000000,0.796446,0.727339,61.800000,0.176563,12000.000000,0.051111,0.979328,160.000000,0.100402,0.494002,0.867286,120.000000,0.830972,0.414575,2.800000,0.107989,0.737103,120.000000,0.258333,0.302329,0.664384,1.000000,0.576667,0.266250,0.586595,0.534417,0.438472,0.491242,0.095353
