db,db_label,prompt_type,model,category,category_poem_count,category_ratio_in_model,imagery_covered_poems,imagery_coverage,total_imagery_tokens,distinct_imagery_count,avg_imagery_per_poem,imagery_entropy,imagery_hhi,top10_imagery_ratio,top5_imageries,signature_top5_imageries,top1_signature_imagery,top1_signature_lift
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,怀古咏史,25,0.125000,25,1.000000,431,287,17.240000,7.871975,0.005690,0.146172,铁瓮城:10|落木:10|芦花:6|渔歌:6|残碑:6,铁瓮城:8.00x|残碑:8.00x|故垒:8.00x|废堞:8.00x|北固山:8.00x,铁瓮城,8.000000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,悼亡相思,20,0.100000,20,1.000000,225,194,11.250000,7.505408,0.006104,0.124444,阑干:5|霜风:3|凉露:3|晚烟:3|砌蛩:3,空阶:10.00x|寒叶:10.00x|笺痕:10.00x|篱户:10.00x|荒径:10.00x,空阶,10.000000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,春怨秋悲,7,0.035000,7,1.000000,84,80,12.000000,6.297079,0.013039,0.166667,西风:2|蛛网:2|丹枫:2|汀洲:2|晚枫:1,余菊:28.57x|冷烟:28.57x|凝尘:28.57x|凝霜:28.57x|吟魂:28.57x,余菊,28.571429
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,离别羁旅,96,0.480000,96,1.000000,1093,596,11.385417,8.692944,0.003888,0.124428,西风:17|孤篷:16|篱菊:14|汀洲:14|家山:13,烟水:2.08x|故园:2.08x|飘蓬:2.08x|笛声:2.08x|霜空:2.08x,烟水,2.083333
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,闲适隐逸,34,0.170000,34,1.000000,386,316,11.352941,8.189481,0.003826,0.088083,松风:4|清露:4|新茶:4|澄波:4|鸥鹭:3,荷气:5.88x|蟾光:5.88x|松风:5.88x|凉月:5.88x|凉风:5.88x,荷气,5.882353
b1,五词牌-无主题,type_b,glm-5,咏物寄托,1,0.010204,1,1.000000,5,5,5.000000,2.321928,0.200000,1.000000,溪桥:1|冷蕊:1|香雪:1|孤鸿:1|水云:1,冷蕊:98.00x|香雪:98.00x|水云:32.67x|溪桥:32.67x|孤鸿:19.60x,冷蕊,98.000000
b1,五词牌-无主题,type_b,glm-5,山水田园,2,0.020408,2,1.000000,14,13,7.000000,3.664498,0.081633,0.785714,疏钟:2|深山:1|阑干:1|斜阳:1|霜风:1,山径:49.00x|星月:49.00x|楚江:49.00x|深山:49.00x|秋声:49.00x,山径,49.000000
b1,五词牌-无主题,type_b,glm-5,怀古咏史,6,0.061224,6,1.000000,82,77,13.666667,6.226395,0.013980,0.182927,落日:3|梅花:2|铁马:2|明月:2|飞雪:1,铁马:16.33x|乱岭:16.33x|乱石:16.33x|关河:16.33x|危阁:16.33x,铁马,16.333333
b1,五词牌-无主题,type_b,glm-5,悼亡相思,6,0.061224,6,1.000000,57,53,9.500000,5.692539,0.020006,0.245614,晚烟:2|危阑:2|西风:2|孤枕:2|高楼:1,孤枕:16.33x|书卷:16.33x|城头:16.33x|夜凉:16.33x|孤屏:16.33x,孤枕,16.333333
b1,五词牌-无主题,type_b,glm-5,春怨秋悲,12,0.122449,12,1.000000,117,104,9.750000,6.624596,0.011031,0.196581,西风:4|阑干:3|长空:2|孤鸿:2|小楼:2,小楼:8.17x|落红:8.17x|乱山:8.17x|云烟:8.17x|云端:8.17x,小楼,8.166667
b1,五词牌-无主题,type_b,glm-5,离别羁旅,33,0.336735,33,1.000000,336,239,10.181818,7.675573,0.006130,0.154762,斜阳:7|烟水:7|西风:6|阑干:6|孤舟:5,危栏:2.97x|孤馆:2.97x|客衣:2.97x|归雁:2.97x|梦魂:2.97x,危栏,2.969697
b1,五词牌-无主题,type_b,glm-5,谈禅说理,3,0.030612,3,1.000000,33,33,11.000000,5.044394,0.030303,0.303030,碧落:1|银汉:1|客船:1|星槎:1|酒樽:1,九霄:32.67x|凉风:32.67x|古殿:32.67x|女牛:32.67x|客船:32.67x,九霄,32.666667
b1,五词牌-无主题,type_b,glm-5,豪情壮志,10,0.102041,10,1.000000,135,115,13.500000,6.724891,0.010809,0.207407,危楼:4|清风:4|斜阳:4|暮色:3|逝水:3,逝水:9.80x|酒:9.80x|长风:9.80x|雁阵:9.80x|云涛:9.80x,逝水,9.800000
b1,五词牌-无主题,type_b,glm-5,闲适隐逸,25,0.255102,25,1.000000,252,204,10.080000,7.499091,0.006771,0.162698,闲云:6|流水:6|明月:5|斜阳:5|青山:4,吾庐:3.92x|栏杆:3.92x|白鸥:3.92x|万壑:3.92x|乱峰:3.92x,吾庐,3.920000
b1,五词牌-无主题,type_b,qwen3.6-plus,咏物寄托,1,0.005319,1,1.000000,11,11,11.000000,3.459432,0.090909,0.909091,火箭:1|云端:1|广寒宫:1|玉斧:1|银汉:1,云端:188.00x|广寒宫:188.00x|星盘:188.00x|火箭:188.00x|玉斧:188.00x,云端,188.000000
b1,五词牌-无主题,type_b,qwen3.6-plus,山水田园,4,0.021277,4,1.000000,40,36,10.000000,5.121928,0.030000,0.350000,孤舟:2|芦花:2|暮云:2|秋水:2|霜林:1,东风:47.00x|幽梦:47.00x|春水:47.00x|清鹤:47.00x|霜色:47.00x,东风,47.000000
b1,五词牌-无主题,type_b,qwen3.6-plus,怀古咏史,22,0.117021,22,1.000000,386,275,17.545455,7.883296,0.005195,0.129534,雁阵:6|雁字:6|残碑:5|逝水:5|芦花:5,云楼:8.55x|冰轮:8.55x|沉江:8.55x|铁马:8.55x|东坡笠:8.55x,云楼,8.545455
b1,五词牌-无主题,type_b,qwen3.6-plus,悼亡相思,11,0.058511,11,1.000000,128,114,11.636364,6.775352,0.009644,0.164062,芦花:3|霜风:2|冷露:2|空庭:2|春烟:2,春烟:17.09x|冷砚:17.09x|冻浦:17.09x|凉月:17.09x|孤窗:17.09x,春烟,17.090909
b1,五词牌-无主题,type_b,qwen3.6-plus,春怨秋悲,9,0.047872,9,1.000000,99,83,11.000000,6.298499,0.013570,0.212121,暮云:3|疏星:2|孤灯:2|荻花:2|烟波:2,瑶琴:20.89x|云痕:20.89x|前川:20.89x|小楼:20.89x|庭前雨:20.89x,瑶琴,20.888889
b1,五词牌-无主题,type_b,qwen3.6-plus,离别羁旅,108,0.574468,108,1.000000,1390,586,12.870370,8.408250,0.005792,0.179137,孤舟:37|雁字:35|暮云:31|荻花:27|芦花:25,寒浦:1.74x|客梦:1.74x|玉笛:1.74x|寒水:1.74x|乡关:1.74x,寒浦,1.740741
b1,五词牌-无主题,type_b,qwen3.6-plus,谈禅说理,1,0.005319,1,1.000000,9,9,9.000000,3.169925,0.111111,1.000000,暮色:1|西楼:1|秋叶:1|长风:1|笛声:1,秋叶:188.00x|沙洲:47.00x|关河:37.60x|沧波:26.86x|笛声:20.89x,秋叶,188.000000
b1,五词牌-无主题,type_b,qwen3.6-plus,豪情壮志,11,0.058511,11,1.000000,188,146,17.090909,7.039196,0.008771,0.180851,霜天:5|孤舟:4|千峰:4|雁阵:3|危楼:3,一苇:17.09x|中流:17.09x|九天:17.09x|云汉:17.09x|云海:17.09x,一苇,17.090909
b1,五词牌-无主题,type_b,qwen3.6-plus,闲适隐逸,21,0.111702,21,1.000000,310,234,14.761905,7.723146,0.005390,0.112903,清秋:5|明月:4|芦花:4|长空:4|孤舟:3,钓钩:8.95x|乱云:8.95x|柴门:8.95x|沙鸟:8.95x|石径:8.95x,钓钩,8.952381
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,咏物寄托,78,0.390000,78,1.000000,383,229,4.910256,7.432453,0.008187,0.198433,宗门:11|风雨:9|晨钟:8|仙山:8|春风:7,鹤影:2.56x|寒月:2.56x|泪痕:2.56x|烟雨:2.56x|严令:2.56x,鹤影,2.564103
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,谈禅说理,77,0.385000,77,1.000000,384,240,4.987013,7.559788,0.007297,0.177083,春风:11|晨钟:8|暮鼓:8|宗规:8|旧制:7,仙踪:2.60x|山岳:2.60x|规绳:2.60x|旧章:2.60x|青天:2.60x,仙踪,2.597403
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,豪情壮志,45,0.225000,45,1.000000,233,166,5.177778,7.081021,0.009965,0.227468,晨钟:7|暮鼓:7|春风:7|明月:6|剑影:6,陈规:4.44x|修行路:4.44x|古律:4.44x|寒光:4.44x|清规:4.44x,陈规,4.444444
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,咏物寄托,66,0.330000,66,1.000000,406,289,6.151515,7.905666,0.005460,0.145320,樊笼:8|松风:7|殿角:7|雏鹰:7|灵根:5,新翎:3.03x|露:3.03x|云天:3.03x|劫浪:3.03x|清辉:3.03x,新翎,3.030303
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,谈禅说理,126,0.630000,126,1.000000,885,532,7.023810,8.586961,0.004130,0.133333,樊笼:16|劫火:16|云:13|丹台:13|松风:12,万壑:1.59x|仙峰:1.59x|妖氛:1.59x|玄峰:1.59x|云涛:1.59x,万壑,1.587302
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,豪情壮志,8,0.040000,8,1.000000,82,72,10.250000,6.113650,0.015170,0.243902,云阶:2|樊笼:2|明月:2|松风:2|万木:2,万兵:25.00x|云樊:25.00x|凌云侣:25.00x|初心:25.00x|剑锋:25.00x,万兵,25.000000
b2,五词牌-改革主题,type_d,gemini-3.1-pro,咏物寄托,4,1.000000,4,1.000000,39,37,9.750000,5.182838,0.028271,0.307692,清规:2|剑气:2|仙阶:1|千山雪:1|灵犀:1,剑气:1.00x|清规:1.00x|九重春:1.00x|仙阶:1.00x|冰壁:1.00x,剑气,1.000000
b2,五词牌-改革主题,type_d,glm-5,咏物寄托,34,0.539683,34,1.000000,213,156,6.264706,7.015187,0.010690,0.220657,樊笼:10|剑气:8|清规:6|稚子:4|妖雾:4,妖雾:1.85x|利剑:1.85x|千山:1.85x|危崖:1.85x|悲风:1.85x,妖雾,1.852941
b2,五词牌-改革主题,type_d,glm-5,谈禅说理,12,0.190476,12,1.000000,88,72,7.333333,6.024606,0.018337,0.284091,樊笼:6|剑气:3|清规:2|烽烟:2|霜锋:2,尘土:5.25x|云巅:5.25x|云根:5.25x|云浮:5.25x|云雾:5.25x,尘土,5.250000
b2,五词牌-改革主题,type_d,glm-5,豪情壮志,17,0.269841,17,1.000000,125,104,7.352941,6.550455,0.012992,0.224000,樊笼:7|重关:3|灵台:3|剑影:3|剑气:2,寒山:3.71x|绝顶:3.71x|严关:3.71x|严律:3.71x|云门:3.71x,寒山,3.705882
b2,五词牌-改革主题,type_d,qwen3.6-plus,咏物寄托,67,0.416149,67,1.000000,762,479,11.373134,8.495816,0.004106,0.123360,星斗:13|剑阁:12|铁律:12|灵根:10|剑阵:9,九天:2.40x|云壑:2.40x|冰弦:2.40x|冰绡:2.40x|凝雾:2.40x,九天,2.402985
b2,五词牌-改革主题,type_d,qwen3.6-plus,谈禅说理,43,0.267081,43,1.000000,520,326,12.093023,7.967782,0.005821,0.159615,青衿:12|铁律:11|灵根:11|劫火:11|剑阁:8,云鹏:3.74x|剑匣:3.74x|孤鹤:3.74x|寒钟:3.74x|戒律:3.74x,云鹏,3.744186
b2,五词牌-改革主题,type_d,qwen3.6-plus,豪情壮志,51,0.316770,51,1.000000,623,395,12.215686,8.227425,0.004913,0.144462,青衿:12|星斗:10|重关:10|青锋:9|剑阁:9,剑:3.16x|玄霜:3.16x|临渊:3.16x|剑诀:3.16x|新火:3.16x,剑,3.156863
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,咏物寄托,186,0.930000,186,1.000000,990,311,5.322581,6.930332,0.029575,0.340404,玉兰:147|玉树:31|风霜:27|清香:26|春风:24,书山:1.08x|花影:1.08x|暗香:1.08x|雪:1.08x|冷雨:1.08x,书山,1.075269
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,春怨秋悲,1,0.005000,1,1.000000,4,4,4.000000,2.000000,0.250000,1.000000,风雨:1|芳树:1|清香:1|明月:1,芳树:66.67x|明月:12.50x|风雨:8.70x|清香:7.14x,芳树,66.666667
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,谈禅说理,10,0.050000,10,1.000000,54,43,5.400000,5.208410,0.034979,0.388889,玉树:6|玉兰:4|风雨:2|琼花:2|书卷:2,旧卷:20.00x|明镜:20.00x|朝暾:20.00x|残花:20.00x|深宵:20.00x,旧卷,20.000000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,豪情壮志,2,0.010000,2,1.000000,12,11,6.000000,3.418296,0.097222,0.916667,玉兰:2|风尘:1|云山:1|春日:1|蜂蝶:1,寒霜:100.00x|春日:100.00x|残灯:33.33x|蜂蝶:25.00x|云山:14.29x,寒霜,100.000000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,闲适隐逸,1,0.005000,1,1.000000,4,4,4.000000,2.000000,0.250000,1.000000,书卷:1|风雨:1|小园:1|玉蕊:1,玉蕊:40.00x|书卷:22.22x|小园:22.22x|风雨:8.70x,玉蕊,40.000000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,咏物寄托,183,0.915000,183,1.000000,1409,670,7.699454,8.716814,0.004461,0.141945,玉兰:41|灯窗:30|寒窗:19|春寒:18|清光:16,征鞍:1.09x|素艳:1.09x|题卷:1.09x|书窗:1.09x|云帆:1.09x,征鞍,1.092896
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,豪情壮志,17,0.085000,17,1.000000,139,114,8.176471,6.722399,0.010610,0.179856,玉兰:5|琼萼:3|小园:3|廊阴:2|灯窗:2,冷雨:11.76x|春花:11.76x|乱蓬:11.76x|云根:11.76x|云鞍:11.76x,冷雨,11.764706
b3,五词牌-玉兰主题,type_d,gemini-3.1-pro,咏物寄托,2,1.000000,2,1.000000,16,16,8.000000,4.000000,0.062500,0.625000,青灯:1|破卷:1|青云:1|客舍:1|屠龙剑:1,东风:1.00x|客舍:1.00x|尘编:1.00x|屠龙剑:1.00x|微春:1.00x,东风,1.000000
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,咏物寄托,173,0.915344,173,1.000000,1869,686,10.803468,8.391245,0.006543,0.193686,素萼:56|寒窗:54|长街:41|书山:35|冰绡:34,庭树:1.09x|白雪:1.09x|素华:1.09x|素蕊:1.09x|芸窗:1.09x,庭树,1.092486
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,春怨秋悲,3,0.015873,3,1.000000,24,23,8.000000,4.501629,0.045139,0.458333,寒窗:2|重门:1|残卷:1|长铗:1|尘垢:1,尘稿:63.00x|星夜:63.00x|秋声:63.00x|青鬓:63.00x|尘垢:31.50x,尘稿,63.000000
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,谈禅说理,1,0.005291,1,1.000000,11,11,11.000000,3.459432,0.090909,0.909091,寒窗:1|青编:1|长街:1|旧径:1|残云:1,旧径:189.00x|残云:189.00x|清波:189.00x|心舟:63.00x|关山:37.80x,旧径,189.000000
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,豪情壮志,12,0.063492,12,1.000000,149,98,12.416667,6.360689,0.015089,0.275168,寒窗:6|素影:6|琼枝:5|青衫:4|素萼:4,锦字:15.75x|世路:15.75x|书牖:15.75x|书简:15.75x|凌云手:15.75x,锦字,15.750000
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,咏物寄托,193,0.965000,193,1.000000,1523,488,7.891192,7.659257,0.013590,0.286277,玉兰:106|玉树:67|琼枝:59|清香:37|寒窗:35,白雪:1.04x|书山:1.04x|琼英:1.04x|素影:1.04x|霜雪:1.04x,白雪,1.036269
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,豪情壮志,6,0.030000,6,1.000000,51,43,8.500000,5.304682,0.028835,0.352941,玉兰:4|寒窗:3|风雨:2|青山:2|花:2,云窗:33.33x|孤星:33.33x|尘埃:33.33x|微飚:33.33x|新蕊:33.33x,云窗,33.333333
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,闲适隐逸,1,0.005000,1,1.000000,8,8,8.000000,3.000000,0.125000,1.000000,书卷:1|花信:1|玉兰:1|晚丘:1|东风:1,晚丘:200.00x|花信:200.00x|白鸥:100.00x|枝头:18.18x|东风:16.67x,晚丘,200.000000
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,咏物寄托,168,0.840000,168,1.000000,1754,757,10.440476,8.732226,0.004984,0.164196,风埃:48|清芬:44|琼英:33|尘笺:26|灯窗:26,明月:1.19x|琼华:1.19x|书卷:1.19x|冰柯:1.19x|玉蕊:1.19x,明月,1.190476
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,豪情壮志,32,0.160000,32,1.000000,379,247,11.843750,7.584098,0.007512,0.187335,风埃:11|琼英:10|清芬:9|灯窗:9|白雪:7,浪涛:6.25x|云浪:6.25x|云涛:6.25x|枝头:6.25x|根芽:6.25x,浪涛,6.250000
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,咏物寄托,1,0.500000,1,1.000000,9,9,9.000000,3.169925,0.111111,1.000000,微灯:1|虚堂:1|卷帙:1|星霜:1|琼姿:1,卷帙:2.00x|幽芳:2.00x|微灯:2.00x|星霜:2.00x|晓光:2.00x,卷帙,2.000000
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,豪情壮志,1,0.500000,1,1.000000,7,7,7.000000,2.807355,0.142857,1.000000,残书:1|长街:1|风雨:1|孤灯:1|繁枝:1,冰雪:2.00x|孤灯:2.00x|残书:2.00x|繁枝:2.00x|长街:2.00x,冰雪,2.000000
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,咏物寄托,121,0.812081,121,1.000000,1525,628,12.603306,8.428771,0.005871,0.177049,琼枝:42|寒窗:37|素萼:33|琼英:27|青衫:26,暗香:1.23x|卷帙:1.23x|云:1.23x|白雪:1.23x|履痕:1.23x,暗香,1.231405
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,春怨秋悲,2,0.013423,2,1.000000,26,26,13.000000,4.700440,0.038462,0.384615,落叶:1|空阶:1|冷雨:1|芸编:1|青衿:1,倦翼:74.50x|回塘:74.50x|孤云:74.50x|孤鸿:74.50x|暗水:74.50x,倦翼,74.500000
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,离别羁旅,4,0.026846,4,1.000000,48,42,12.000000,5.303509,0.027778,0.333333,寒窗:3|长街:3|墨卷:2|青灯:2|冷庭:1,云天:37.25x|云岫:37.25x|冷庭:37.25x|星芒:37.25x|白衣:37.25x,云天,37.250000
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,谈禅说理,1,0.006711,1,1.000000,24,24,24.000000,4.584963,0.041667,0.416667,霜锋:1|书卷:1|星沉:1|芸窗:1|残编:1,冰骨:149.00x|岁华:149.00x|弦:149.00x|断雁:149.00x|星沉:149.00x,冰骨,149.000000
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,豪情壮志,21,0.140940,21,1.000000,281,205,13.380952,7.435779,0.007434,0.174377,琼枝:8|青衿:7|长街:6|寒窗:5|星霜:4,远岫:7.10x|九霄:7.10x|云山:7.10x|云槎:7.10x|云航:7.10x,远岫,7.095238
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,咏物寄托,9,0.090909,9,1.000000,66,54,7.333333,5.623569,0.022957,0.333333,弟子:3|危机:3|长老:3|晨钟:3|暮鼓:3,云卷:11.00x|云海:11.00x|剑阁:11.00x|古律:11.00x|宇宙:11.00x,云卷,11.000000
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,谈禅说理,49,0.494949,49,1.000000,274,158,5.591837,6.828968,0.014252,0.277372,晨钟:15|暮鼓:15|春风:10|云山:6|樊笼:6,枷锁:2.02x|天公:2.02x|经书:2.02x|酒盅:2.02x|云峰:2.02x,枷锁,2.020408
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,豪情壮志,40,0.404040,40,1.000000,229,128,5.725000,6.514165,0.016762,0.314410,宗门:13|晨钟:11|暮鼓:10|长老:8|弟子:7,旧规:2.48x|栏杆:2.48x|修炼场:2.48x|山门:2.48x|新潮:2.48x,旧规,2.475000
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,闲适隐逸,1,0.010101,1,1.000000,3,3,3.000000,1.584963,0.333333,1.000000,前路:1|栏干:1|清风:1,栏干:49.50x|清风:14.14x|前路:11.00x,栏干,49.500000
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,咏物寄托,6,0.060000,6,1.000000,53,49,8.833333,5.562734,0.022428,0.264151,丹台:3|仙峰:2|樊笼:2|玉阙:1|丹崖:1,丹阙:16.67x|垂髫:16.67x|孤松:16.67x|律例:16.67x|故辙:16.67x,丹阙,16.666667
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,谈禅说理,80,0.800000,80,1.000000,791,440,9.887500,8.231492,0.005637,0.168142,樊笼:18|仙峰:18|丹台:17|青衿:16|万木:14,云:1.25x|雾:1.25x|丹峰:1.25x|云雾:1.25x|仙鹤:1.25x,云,1.250000
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,豪情壮志,14,0.140000,14,1.000000,122,105,8.714286,6.639674,0.010750,0.180328,仙峰:3|樊笼:3|弟子:2|霜:2|鲲鹏:2,云阶:7.14x|丹堂:7.14x|丹经:7.14x|丹鹤:7.14x|九霄:7.14x,云阶,7.142857
c2,沁园春-改革主题,type_e,qwen3.6-plus,咏物寄托,11,0.169231,11,1.000000,177,132,16.090909,6.854919,0.010565,0.203390,丹炉:7|青衿:6|剑阁:3|星槎:3|剑气:3,浓雾:5.91x|稚子:5.91x|丹房:5.91x|九霄:5.91x|云台:5.91x,浓雾,5.909091
c2,沁园春-改革主题,type_e,qwen3.6-plus,谈禅说理,22,0.338462,22,1.000000,284,199,12.909091,7.399927,0.007588,0.172535,灵根:9|剑阁:7|青衿:6|丹炉:5|劫火:5,云雾:2.95x|古阁:2.95x|坚城:2.95x|宗门:2.95x|旧坛:2.95x,云雾,2.954545
c2,沁园春-改革主题,type_e,qwen3.6-plus,豪情壮志,32,0.492308,32,1.000000,505,315,15.781250,7.869709,0.006756,0.186139,青衿:15|丹炉:14|灵根:13|铁律:10|剑阁:9,同袍:2.03x|群峰:2.03x|长夜:2.03x|玄规:2.03x|丹心:2.03x,同袍,2.031250
