db,db_label,prompt_type,imagery,count,proportion,poem_coverage_count,poem_coverage_ratio,rank,total_poems,imagery_covered_poems,total_imagery_tokens
b3,五词牌-玉兰主题,type_d,白雪,42,0.008972,42,0.071066,13,591,591,4681
b3,五词牌-玉兰主题,type_d,青衫,41,0.008759,41,0.069374,14,591,591,4681
b3,五词牌-玉兰主题,type_d,琼枝,40,0.008545,40,0.067682,15,591,591,4681
b3,五词牌-玉兰主题,type_d,琼英,39,0.008332,39,0.065990,16,591,591,4681
b3,五词牌-玉兰主题,type_d,素影,38,0.008118,38,0.064298,17,591,591,4681
b3,五词牌-玉兰主题,type_d,清香,36,0.007691,36,0.060914,18,591,591,4681
b3,五词牌-玉兰主题,type_d,风雨,34,0.007263,34,0.057530,19,591,591,4681
b3,五词牌-玉兰主题,type_d,风霜,33,0.007050,33,0.055838,20,591,591,4681
c1,沁园春-玉兰主题,type_a,玉兰,147,0.026087,147,0.266788,1,551,551,5635
c1,沁园春-玉兰主题,type_a,琼枝,128,0.022715,128,0.232305,2,551,551,5635
c1,沁园春-玉兰主题,type_a,寒窗,92,0.016327,92,0.166969,3,551,551,5635
c1,沁园春-玉兰主题,type_a,琼英,86,0.015262,86,0.156080,4,551,551,5635
c1,沁园春-玉兰主题,type_a,玉树,80,0.014197,80,0.145191,5,551,551,5635
c1,沁园春-玉兰主题,type_a,清芬,70,0.012422,70,0.127042,6,551,551,5635
c1,沁园春-玉兰主题,type_a,风埃,59,0.010470,59,0.107078,7,551,551,5635
c1,沁园春-玉兰主题,type_a,素萼,54,0.009583,54,0.098004,8,551,551,5635
c1,沁园春-玉兰主题,type_a,春风,51,0.009051,51,0.092559,9,551,551,5635
c1,沁园春-玉兰主题,type_a,长风,49,0.008696,49,0.088929,10,551,551,5635
c1,沁园春-玉兰主题,type_a,孤灯,49,0.008696,49,0.088929,11,551,551,5635
c1,沁园春-玉兰主题,type_a,春寒,44,0.007808,44,0.079855,12,551,551,5635
c1,沁园春-玉兰主题,type_a,雪,42,0.007453,42,0.076225,13,551,551,5635
c1,沁园春-玉兰主题,type_a,白雪,41,0.007276,41,0.074410,14,551,551,5635
c1,沁园春-玉兰主题,type_a,书山,40,0.007098,40,0.072595,15,551,551,5635
c1,沁园春-玉兰主题,type_a,长街,39,0.006921,39,0.070780,16,551,551,5635
c1,沁园春-玉兰主题,type_a,清香,39,0.006921,39,0.070780,17,551,551,5635
c1,沁园春-玉兰主题,type_a,风霜,38,0.006744,38,0.068966,18,551,551,5635
c1,沁园春-玉兰主题,type_a,青衫,37,0.006566,37,0.067151,19,551,551,5635
c1,沁园春-玉兰主题,type_a,素影,37,0.006566,37,0.067151,20,551,551,5635
c2,沁园春-改革主题,type_e,青衿,46,0.018371,46,0.174242,1,264,264,2504
c2,沁园春-改革主题,type_e,灵根,38,0.015176,38,0.143939,2,264,264,2504
c2,沁园春-改革主题,type_e,樊笼,38,0.015176,38,0.143939,3,264,264,2504
c2,沁园春-改革主题,type_e,丹炉,36,0.014377,36,0.136364,4,264,264,2504
c2,沁园春-改革主题,type_e,晨钟,35,0.013978,35,0.132576,5,264,264,2504
c2,沁园春-改革主题,type_e,暮鼓,30,0.011981,30,0.113636,6,264,264,2504
c2,沁园春-改革主题,type_e,仙峰,25,0.009984,25,0.094697,7,264,264,2504
c2,沁园春-改革主题,type_e,春风,23,0.009185,23,0.087121,8,264,264,2504
c2,沁园春-改革主题,type_e,丹台,22,0.008786,22,0.083333,9,264,264,2504
c2,沁园春-改革主题,type_e,弟子,21,0.008387,21,0.079545,10,264,264,2504
c2,沁园春-改革主题,type_e,剑阁,21,0.008387,21,0.079545,11,264,264,2504
c2,沁园春-改革主题,type_e,劫火,20,0.007987,20,0.075758,12,264,264,2504
c2,沁园春-改革主题,type_e,剑影,20,0.007987,20,0.075758,13,264,264,2504
c2,沁园春-改革主题,type_e,宗门,19,0.007588,19,0.071970,14,264,264,2504
c2,沁园春-改革主题,type_e,长风,18,0.007188,18,0.068182,15,264,264,2504
c2,沁园春-改革主题,type_e,铁律,18,0.007188,18,0.068182,16,264,264,2504
c2,沁园春-改革主题,type_e,剑气,18,0.007188,18,0.068182,17,264,264,2504
c2,沁园春-改革主题,type_e,鹤,16,0.006390,16,0.060606,18,264,264,2504
c2,沁园春-改革主题,type_e,云,16,0.006390,16,0.060606,19,264,264,2504
c2,沁园春-改革主题,type_e,松涛,15,0.005990,15,0.056818,20,264,264,2504
