db,db_label,prompt_type,model,imagery,count,proportion,poem_coverage_count,poem_coverage_ratio,rank,total_poems,imagery_covered_poems,total_imagery_tokens
a1,无限制生成,type_c,gemini-3.1-pro,星河,3,0.031579,3,0.300000,2,10,10,95
a1,无限制生成,type_c,gemini-3.1-pro,尘寰,2,0.021053,2,0.200000,3,10,10,95
a1,无限制生成,type_c,gemini-3.1-pro,繁星,2,0.021053,2,0.200000,4,10,10,95
a1,无限制生成,type_c,gemini-3.1-pro,流星,2,0.021053,2,0.200000,5,10,10,95
a1,无限制生成,type_c,gemini-3.1-pro,冷月,2,0.021053,2,0.200000,6,10,10,95
a1,无限制生成,type_c,gemini-3.1-pro,琉璃镜,2,0.021053,2,0.200000,7,10,10,95
a1,无限制生成,type_c,gemini-3.1-pro,须弥,2,0.021053,2,0.200000,8,10,10,95
a1,无限制生成,type_c,gemini-3.1-pro,芥子,2,0.021053,2,0.200000,9,10,10,95
a1,无限制生成,type_c,gemini-3.1-pro,浮云,2,0.021053,2,0.200000,10,10,10,95
a1,无限制生成,type_c,gemini-3.1-pro,银汉,1,0.010526,1,0.100000,11,10,10,95
a1,无限制生成,type_c,gemini-3.1-pro,孤影,1,0.010526,1,0.100000,12,10,10,95
a1,无限制生成,type_c,gemini-3.1-pro,飞翼,1,0.010526,1,0.100000,13,10,10,95
a1,无限制生成,type_c,gemini-3.1-pro,星雾,1,0.010526,1,0.100000,14,10,10,95
a1,无限制生成,type_c,gemini-3.1-pro,金声,1,0.010526,1,0.100000,15,10,10,95
a1,无限制生成,type_c,gemini-3.1-pro,铁镜,1,0.010526,1,0.100000,16,10,10,95
a1,无限制生成,type_c,gemini-3.1-pro,玉京,1,0.010526,1,0.100000,17,10,10,95
a1,无限制生成,type_c,gemini-3.1-pro,深空,1,0.010526,1,0.100000,18,10,10,95
a1,无限制生成,type_c,gemini-3.1-pro,夜气,1,0.010526,1,0.100000,19,10,10,95
a1,无限制生成,type_c,gemini-3.1-pro,云海,1,0.010526,1,0.100000,20,10,10,95
a1,无限制生成,type_c,glm-4.7,明月,7,0.013807,7,0.155556,1,45,45,507
a1,无限制生成,type_c,glm-4.7,危楼,6,0.011834,6,0.133333,2,45,45,507
a1,无限制生成,type_c,glm-4.7,暮云,6,0.011834,6,0.133333,3,45,45,507
a1,无限制生成,type_c,glm-4.7,关山,6,0.011834,6,0.133333,4,45,45,507
a1,无限制生成,type_c,glm-4.7,晚风,5,0.009862,5,0.111111,5,45,45,507
a1,无限制生成,type_c,glm-4.7,西风,5,0.009862,5,0.111111,6,45,45,507
a1,无限制生成,type_c,glm-4.7,长空,5,0.009862,5,0.111111,7,45,45,507
a1,无限制生成,type_c,glm-4.7,酒,4,0.007890,4,0.088889,8,45,45,507
a1,无限制生成,type_c,glm-4.7,苍苔,4,0.007890,4,0.088889,9,45,45,507
a1,无限制生成,type_c,glm-4.7,黄昏,4,0.007890,4,0.088889,10,45,45,507
a1,无限制生成,type_c,glm-4.7,云,4,0.007890,4,0.088889,11,45,45,507
a1,无限制生成,type_c,glm-4.7,流光,4,0.007890,4,0.088889,12,45,45,507
a1,无限制生成,type_c,glm-4.7,星河,4,0.007890,4,0.088889,13,45,45,507
a1,无限制生成,type_c,glm-4.7,寒烟,4,0.007890,4,0.088889,14,45,45,507
a1,无限制生成,type_c,glm-4.7,星斗,3,0.005917,3,0.066667,15,45,45,507
a1,无限制生成,type_c,glm-4.7,空山,3,0.005917,3,0.066667,16,45,45,507
a1,无限制生成,type_c,glm-4.7,烟波,3,0.005917,3,0.066667,17,45,45,507
a1,无限制生成,type_c,glm-4.7,霜雪,3,0.005917,3,0.066667,18,45,45,507
a1,无限制生成,type_c,glm-4.7,霓虹,3,0.005917,3,0.066667,19,45,45,507
a1,无限制生成,type_c,glm-4.7,故园,3,0.005917,3,0.066667,20,45,45,507
a1,无限制生成,type_c,glm-5,西风,6,0.011650,6,0.120000,1,50,50,515
a1,无限制生成,type_c,glm-5,明月,6,0.011650,6,0.120000,2,50,50,515
a1,无限制生成,type_c,glm-5,孤舟,6,0.011650,6,0.120000,3,50,50,515
a1,无限制生成,type_c,glm-5,斜阳,6,0.011650,6,0.120000,4,50,50,515
a1,无限制生成,type_c,glm-5,孤灯,5,0.009709,5,0.100000,5,50,50,515
a1,无限制生成,type_c,glm-5,暮云,4,0.007767,4,0.080000,6,50,50,515
a1,无限制生成,type_c,glm-5,阑干,4,0.007767,4,0.080000,7,50,50,515
a1,无限制生成,type_c,glm-5,铁马,4,0.007767,4,0.080000,8,50,50,515
a1,无限制生成,type_c,glm-5,风雨,4,0.007767,4,0.080000,9,50,50,515
a1,无限制生成,type_c,glm-5,寒江,3,0.005825,3,0.060000,10,50,50,515
a1,无限制生成,type_c,glm-5,危楼,3,0.005825,3,0.060000,11,50,50,515
a1,无限制生成,type_c,glm-5,逝水,3,0.005825,3,0.060000,12,50,50,515
a1,无限制生成,type_c,glm-5,黄叶,3,0.005825,3,0.060000,13,50,50,515
a1,无限制生成,type_c,glm-5,星河,3,0.005825,3,0.060000,14,50,50,515
a1,无限制生成,type_c,glm-5,暮色,3,0.005825,3,0.060000,15,50,50,515
a1,无限制生成,type_c,glm-5,霜风,3,0.005825,3,0.060000,16,50,50,515
a1,无限制生成,type_c,glm-5,梅花,3,0.005825,3,0.060000,17,50,50,515
a1,无限制生成,type_c,glm-5,清风,3,0.005825,3,0.060000,18,50,50,515
a1,无限制生成,type_c,glm-5,疏雨,3,0.005825,3,0.060000,19,50,50,515
a1,无限制生成,type_c,glm-5,苍苔,3,0.005825,3,0.060000,20,50,50,515
a1,无限制生成,type_c,gpt-5.4-high,薄雾,1,0.052632,1,0.500000,1,2,2,19
a1,无限制生成,type_c,gpt-5.4-high,短篷,1,0.052632,1,0.500000,2,2,2,19
a1,无限制生成,type_c,gpt-5.4-high,小滩,1,0.052632,1,0.500000,3,2,2,19
a1,无限制生成,type_c,gpt-5.4-high,螺红,1,0.052632,1,0.500000,4,2,2,19
a1,无限制生成,type_c,gpt-5.4-high,鸥影,1,0.052632,1,0.500000,5,2,2,19
a1,无限制生成,type_c,gpt-5.4-high,烟空,1,0.052632,1,0.500000,6,2,2,19
a1,无限制生成,type_c,gpt-5.4-high,铁笛,1,0.052632,1,0.500000,7,2,2,19
a1,无限制生成,type_c,gpt-5.4-high,秋风,1,0.052632,1,0.500000,8,2,2,19
a1,无限制生成,type_c,gpt-5.4-high,渔唱,1,0.052632,1,0.500000,9,2,2,19
a1,无限制生成,type_c,gpt-5.4-high,霜钟,1,0.052632,1,0.500000,10,2,2,19
