db,db_label,prompt_type,model,cipai,poem_count_total,poem_count_used,resample_rounds,weight,sent_pseudo_ratio,imagery_score,whole_pair_count,whole_lex_p50,core_mihi,sentence_count,imagery_jaccard_p50,whole_score,distinct_imagery_count,category_entropy,whole_pseudo_ratio,top10_imagery_concentration,whole_sem_p50,whole_highsim_ratio,whole_sem_p90,imagery_entropy,raw_sentence_comparison_count,topk_sent_mean,sentence_pair_count,top1_sent_mean,whole_lex_p90,sent_score,mihi_full,imagery_jaccard_p90,sent_highsim_ratio,distinct_category_count,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
b1,五词牌-无主题,type_b,qwen3.6-plus,菩萨蛮,48,19,5,19,0.816764,0.142138,171.000000,0.190942,0.589656,152.000000,0.039773,0.677672,163.000000,0.461480,0.998830,0.216640,0.787756,0.135673,0.855531,0.960758,10944.000000,0.676554,171.000000,0.738714,0.270513,0.482082,0.502108,0.108452,0.038596,3.400000,0.499663,0.423855,0.465549,0.124107
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,沁园春,38,20,5,20,0.293684,0.129023,190.000000,0.191841,0.732271,501.400000,0.000000,0.916594,86.200000,0.953146,1.000000,0.338032,0.902749,0.929474,0.931082,0.944511,119414.400000,0.827531,190.000000,0.896629,0.271867,0.506989,0.615718,0.204730,0.374737,3.000000,0.635898,0.458012,0.555849,0.176422
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,浪淘沙,34,12,5,12,0.568687,0.080696,66.000000,0.184096,0.566012,120.000000,0.000000,0.706231,44.200000,0.897049,1.000000,0.306729,0.817143,0.200000,0.858864,0.990003,6600.000000,0.650472,66.000000,0.709049,0.254482,0.394634,0.472065,0.032222,0.028283,3.000000,0.522501,0.442823,0.486646,0.079366
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,清平乐,44,18,5,18,0.537255,0.071473,153.000000,0.211492,0.539631,144.000000,0.000000,0.661192,68.800000,0.993226,1.000000,0.247136,0.787204,0.073203,0.843163,0.988976,9792.000000,0.644512,153.000000,0.725602,0.277778,0.391058,0.448701,0.081063,0.030501,3.000000,0.525762,0.450375,0.491838,0.047794
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,祝英台近,40,15,5,15,0.460952,0.104419,105.000000,0.172159,0.628187,242.400000,0.000000,0.804971,68.400000,0.828781,1.000000,0.283402,0.853614,0.556190,0.889753,0.981034,27415.800000,0.721303,105.000000,0.783251,0.260513,0.412118,0.527362,0.114879,0.097143,3.000000,0.634043,0.463451,0.557276,0.070911
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,菩萨蛮,44,12,5,12,0.654545,0.088586,66.000000,0.210291,0.551447,96.000000,0.000000,0.654642,43.800000,0.881884,1.000000,0.306212,0.786670,0.054545,0.834658,0.987735,4224.000000,0.637193,66.000000,0.713359,0.297529,0.425321,0.461168,0.057222,0.037374,3.000000,0.489113,0.427798,0.461521,0.089926
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,沁园春,44,20,5,20,0.457895,0.147347,190.000000,0.177063,0.760780,499.000000,0.061925,0.935073,162.800000,0.586251,1.000000,0.219684,0.912410,0.994737,0.933069,0.963517,118275.200000,0.811904,190.000000,0.901520,0.252173,0.547754,0.641966,0.146853,0.349825,2.800000,0.635898,0.458012,0.555849,0.204931
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,浪淘沙,38,12,5,12,0.683838,0.135459,66.000000,0.173966,0.576970,120.000000,0.037660,0.686317,56.800000,0.854228,1.000000,0.353001,0.809636,0.127273,0.853481,0.970640,6600.000000,0.643077,66.000000,0.722527,0.261695,0.443324,0.491098,0.136658,0.053535,2.600000,0.522501,0.442823,0.486646,0.090324
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,清平乐,46,18,5,18,0.697168,0.104531,153.000000,0.203704,0.557599,144.000000,0.000000,0.660529,73.400000,0.790377,1.000000,0.277785,0.792221,0.061438,0.840436,0.977574,9792.000000,0.621276,153.000000,0.697416,0.299259,0.431796,0.469273,0.103077,0.033551,2.400000,0.525762,0.450375,0.491838,0.065761
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,祝英台近,31,15,5,15,0.657143,0.077891,105.000000,0.176666,0.667167,240.400000,0.000000,0.851623,97.400000,0.822597,1.000000,0.205641,0.868324,0.746667,0.893761,0.986807,26969.600000,0.684926,105.000000,0.746689,0.242526,0.441721,0.553411,0.070813,0.051429,2.800000,0.634043,0.463451,0.557276,0.109891
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,菩萨蛮,41,12,5,12,0.797980,0.091378,66.000000,0.163462,0.542615,96.000000,0.000000,0.619290,60.000000,0.852659,1.000000,0.258407,0.751292,0.006061,0.808106,0.985341,4224.000000,0.603521,66.000000,0.676807,0.232692,0.448901,0.454071,0.093985,0.016162,2.600000,0.489113,0.427798,0.461521,0.081094
b2,五词牌-改革主题,type_d,glm-5,浪淘沙,12,12,5,12,0.545455,0.122633,66.000000,0.187500,0.558919,120.000000,0.055556,0.677346,65.000000,0.979869,1.000000,0.337349,0.816155,0.075758,0.847058,0.968495,6600.000000,0.662221,66.000000,0.740850,0.240264,0.414174,0.474294,0.122222,0.070707,2.000000,0.522501,0.442823,0.486646,0.072273
b2,五词牌-改革主题,type_d,glm-5,清平乐,18,18,5,18,0.740741,0.107606,153.000000,0.148148,0.539188,144.000000,0.000000,0.634058,78.000000,0.772507,1.000000,0.287129,0.767542,0.019608,0.821219,0.971141,9792.000000,0.584781,153.000000,0.655523,0.220183,0.423237,0.454980,0.098182,0.010893,3.000000,0.525762,0.450375,0.491838,0.047351
b2,五词牌-改革主题,type_d,glm-5,祝英台近,15,15,5,15,0.739683,0.082197,105.000000,0.150235,0.667509,243.000000,0.000000,0.824325,93.000000,0.918990,1.000000,0.247934,0.859402,0.638095,0.890018,0.974603,27542.000000,0.685498,105.000000,0.757578,0.211101,0.475845,0.553932,0.087879,0.066667,3.000000,0.634043,0.463451,0.557276,0.110233
b2,五词牌-改革主题,type_d,glm-5,菩萨蛮,12,12,5,12,0.707071,0.131732,66.000000,0.185185,0.550933,96.000000,0.000000,0.642543,50.000000,0.808014,1.000000,0.369231,0.771884,0.045455,0.825033,0.970270,4224.000000,0.636228,66.000000,0.715742,0.269231,0.438965,0.469128,0.142857,0.030303,3.000000,0.489113,0.427798,0.461521,0.089412
b2,五词牌-改革主题,type_d,qwen3.6-plus,沁园春,25,20,5,20,0.403509,0.090095,190.000000,0.157601,0.708240,475.000000,0.045528,0.909347,241.000000,0.901931,1.000000,0.169975,0.898682,0.906316,0.929141,0.964140,107048.400000,0.769126,190.000000,0.853527,0.213272,0.462444,0.589080,0.107088,0.213333,3.000000,0.635898,0.458012,0.555849,0.152391
b2,五词牌-改革主题,type_d,qwen3.6-plus,浪淘沙,24,12,5,12,0.678788,0.087364,66.000000,0.178506,0.617750,117.800000,0.016168,0.759476,106.800000,0.870966,1.000000,0.215874,0.834768,0.390909,0.879701,0.978798,6362.200000,0.653475,66.000000,0.723516,0.284375,0.444530,0.514822,0.094026,0.059596,3.000000,0.522501,0.442823,0.486646,0.131105
b2,五词牌-改革主题,type_d,qwen3.6-plus,清平乐,39,18,5,18,0.789542,0.051705,153.000000,0.152411,0.566300,144.000000,0.000000,0.673570,138.800000,0.982623,1.000000,0.163535,0.793300,0.108497,0.850735,0.983890,9792.000000,0.597945,153.000000,0.651806,0.229630,0.435193,0.465765,0.062598,0.006972,3.000000,0.525762,0.450375,0.491838,0.074463
b2,五词牌-改革主题,type_d,qwen3.6-plus,祝英台近,36,15,5,15,0.653333,0.079772,105.000000,0.151042,0.616014,227.200000,0.027609,0.764574,162.000000,0.916494,1.000000,0.176931,0.839356,0.400000,0.882987,0.977363,24068.400000,0.678948,105.000000,0.739775,0.211200,0.434440,0.512067,0.096435,0.041270,3.000000,0.634043,0.463451,0.557276,0.058737
b2,五词牌-改革主题,type_d,qwen3.6-plus,菩萨蛮,37,12,5,12,0.762626,0.079104,66.000000,0.169325,0.562748,96.000000,0.004000,0.666751,107.400000,0.853496,1.000000,0.202585,0.780094,0.109091,0.849618,0.984220,4224.000000,0.614973,66.000000,0.677364,0.234119,0.435634,0.468330,0.083835,0.009091,2.800000,0.489113,0.427798,0.461521,0.101227
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,沁园春,35,20,5,20,0.379298,0.210979,190.000000,0.190138,0.728378,503.200000,0.074519,0.897784,81.200000,0.411012,1.000000,0.369971,0.886025,0.901053,0.915204,0.934388,120272.200000,0.825487,190.000000,0.892022,0.263764,0.521326,0.628663,0.181771,0.349825,2.400000,0.635898,0.458012,0.555849,0.172529
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,浪淘沙,48,20,5,20,0.525263,0.243155,190.000000,0.208387,0.542383,200.000000,0.125794,0.643373,54.400000,0.579634,1.000000,0.456974,0.771766,0.041053,0.830932,0.904827,19000.000000,0.685399,190.000000,0.766910,0.295865,0.418950,0.484782,0.224714,0.078246,2.400000,0.531713,0.445985,0.493135,0.049248
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,清平乐,35,20,5,20,0.622456,0.290927,190.000000,0.223261,0.547004,160.000000,0.105556,0.640755,56.600000,0.000000,1.000000,0.461711,0.769836,0.037895,0.827527,0.919705,12160.000000,0.666827,190.000000,0.743620,0.324239,0.432419,0.497872,0.214444,0.056491,1.000000,0.519327,0.451810,0.488944,0.058060
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,祝英台近,32,20,5,20,0.381053,0.247830,190.000000,0.209289,0.634211,322.400000,0.091212,0.758264,71.800000,0.171838,1.000000,0.382228,0.840314,0.368421,0.881408,0.927602,49371.200000,0.787399,190.000000,0.863610,0.319590,0.482592,0.559692,0.197616,0.272982,1.600000,0.627816,0.461108,0.552798,0.081414
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,菩萨蛮,50,20,5,20,0.564561,0.314667,190.000000,0.231471,0.549491,160.000000,0.127183,0.625756,55.400000,0.057279,0.997895,0.485677,0.757596,0.018947,0.810560,0.895080,12160.000000,0.690561,190.000000,0.801049,0.306499,0.456280,0.504221,0.273016,0.116491,1.200000,0.507066,0.431574,0.473095,0.076397
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,沁园春,45,20,5,20,0.557895,0.097107,190.000000,0.166672,0.744641,500.000000,0.000000,0.924489,164.200000,0.621959,1.000000,0.181842,0.903969,0.969474,0.928699,0.973824,118750.000000,0.793595,190.000000,0.870593,0.240393,0.524827,0.619131,0.081267,0.240702,2.000000,0.635898,0.458012,0.555849,0.188792
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,浪淘沙,42,20,5,20,0.758947,0.138660,190.000000,0.193750,0.584933,200.000000,0.000000,0.688043,92.200000,0.387605,1.000000,0.253999,0.807978,0.138947,0.854214,0.975158,19000.000000,0.657331,190.000000,0.725841,0.275000,0.458910,0.497970,0.096545,0.033684,2.000000,0.531713,0.445985,0.493135,0.091798
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,清平乐,34,20,5,20,0.818246,0.147602,190.000000,0.206779,0.568992,160.000000,0.000000,0.647234,99.600000,0.322917,1.000000,0.260563,0.784338,0.029474,0.830568,0.969347,12160.000000,0.656122,190.000000,0.718930,0.288770,0.473363,0.486453,0.098864,0.030526,2.000000,0.519327,0.451810,0.488944,0.080048
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,祝英台近,37,20,5,20,0.756491,0.142312,190.000000,0.175405,0.703867,320.000000,0.000000,0.853432,139.200000,0.114559,1.000000,0.174599,0.870156,0.735789,0.903988,0.980292,48640.000000,0.735369,190.000000,0.807295,0.248183,0.521066,0.594880,0.067509,0.129825,1.400000,0.627816,0.461108,0.552798,0.151070
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,菩萨蛮,42,20,5,20,0.802807,0.178639,190.000000,0.209972,0.566289,160.000000,0.042170,0.630866,87.200000,0.424125,1.000000,0.318119,0.762106,0.014737,0.822885,0.951885,12160.000000,0.674914,190.000000,0.751086,0.303846,0.487361,0.490194,0.151428,0.052982,2.000000,0.507066,0.431574,0.473095,0.093194
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,沁园春,36,20,5,20,0.507018,0.130984,190.000000,0.169388,0.668935,434.200000,0.047662,0.797090,169.000000,0.644376,1.000000,0.221440,0.849747,0.504211,0.904580,0.954583,89280.600000,0.783249,190.000000,0.866615,0.238670,0.512300,0.564192,0.119640,0.250526,2.000000,0.635898,0.458012,0.555849,0.113086
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,浪淘沙,34,20,5,20,0.671228,0.181764,190.000000,0.206792,0.549715,187.200000,0.018615,0.645393,132.800000,0.000000,1.000000,0.229687,0.774933,0.040000,0.833089,0.964479,16634.000000,0.663080,190.000000,0.724103,0.300779,0.432775,0.478251,0.103039,0.035439,1.000000,0.531713,0.445985,0.493135,0.056580
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,清平乐,44,20,5,20,0.736842,0.160964,190.000000,0.225484,0.565031,158.400000,0.050050,0.652470,118.400000,0.482131,1.000000,0.282807,0.780694,0.050526,0.840060,0.952482,11916.800000,0.673803,190.000000,0.739837,0.315929,0.458162,0.486161,0.121386,0.037895,2.600000,0.519327,0.451810,0.488944,0.076087
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,祝英台近,37,20,5,20,0.724211,0.143538,190.000000,0.176209,0.644032,309.000000,0.037262,0.774371,171.600000,0.352492,1.000000,0.197035,0.841272,0.434737,0.889293,0.963485,45277.600000,0.720734,190.000000,0.783951,0.230433,0.484729,0.546830,0.090750,0.080702,2.600000,0.627816,0.461108,0.552798,0.091235
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,菩萨蛮,38,20,5,20,0.744912,0.178771,190.000000,0.186141,0.543785,158.400000,0.037620,0.625651,129.800000,0.171838,1.000000,0.253515,0.753368,0.020000,0.816557,0.956588,11916.800000,0.642653,190.000000,0.708446,0.278578,0.443727,0.472602,0.110974,0.019298,1.600000,0.507066,0.431574,0.473095,0.070691
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,沁园春,200,20,5,20,0.380351,0.220061,190.000000,0.187243,0.733310,500.200000,0.068221,0.882811,101.000000,0.186358,1.000000,0.331034,0.882178,0.842105,0.911004,0.939774,118845.000000,0.829931,190.000000,0.907570,0.263876,0.550587,0.633983,0.170360,0.410526,1.800000,0.635898,0.458012,0.555849,0.177461
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,沁园春,200,20,5,20,0.339649,0.117912,190.000000,0.199841,0.764744,500.200000,0.016333,0.926879,163.400000,0.511231,1.000000,0.194222,0.905525,0.977895,0.928459,0.971716,118845.000000,0.845855,190.000000,0.942632,0.279228,0.566579,0.638981,0.086585,0.454737,2.000000,0.635898,0.458012,0.555849,0.208895
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,沁园春,149,20,5,20,0.549825,0.135451,190.000000,0.159639,0.641190,421.600000,0.041682,0.762631,179.600000,0.473288,1.000000,0.198933,0.830050,0.392632,0.896932,0.964287,84213.200000,0.760993,190.000000,0.842422,0.227951,0.492762,0.542741,0.099335,0.187719,3.000000,0.635898,0.458012,0.555849,0.085341
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,沁园春,99,20,5,20,0.307719,0.115707,190.000000,0.187498,0.731735,500.200000,0.000000,0.923193,83.400000,0.868720,1.000000,0.322306,0.906727,0.950526,0.932413,0.959355,118841.400000,0.826087,190.000000,0.893844,0.253792,0.497732,0.612784,0.136212,0.343158,3.200000,0.635898,0.458012,0.555849,0.175886
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,沁园春,100,20,5,20,0.447719,0.111897,190.000000,0.193432,0.756360,498.600000,0.016641,0.928602,154.200000,0.557905,1.000000,0.181336,0.905049,0.987368,0.928679,0.976009,118084.000000,0.805421,190.000000,0.899236,0.266029,0.545841,0.631295,0.092789,0.354386,2.800000,0.635898,0.458012,0.555849,0.200511
c2,沁园春-改革主题,type_e,qwen3.6-plus,沁园春,65,20,5,20,0.407018,0.094205,190.000000,0.158057,0.686935,442.600000,0.039535,0.876583,219.200000,0.889157,1.000000,0.190737,0.887271,0.775789,0.925966,0.961657,92887.600000,0.762958,190.000000,0.847669,0.213980,0.455143,0.572603,0.109208,0.196842,3.000000,0.635898,0.458012,0.555849,0.131086
